character,dialogue
Harry,"We have something worth fighting for."
Harry,"I don't go looking for trouble. Trouble usually finds me."
Harry,"Expelliarmus!"
Harry,"Working hard is important, but there is something that matters even more: believing in yourself."
Harry,"I solemnly swear that I am up to no good."

Hermione,"Fear of a name increases fear itself."
Hermione,"Books and cleverness. There are more important things — friendship and bravery."
Hermione,"It's wingardium leviOsa, not levioSA."
Hermione,"Just because you have the emotional range of a teaspoon."
Hermione,"When in doubt, go to the library."

Ron,"Why spiders? Why couldn't it be butterflies?"
Ron,"Don't let the muggles get you down."
Ron,"Bloody hell!"
Ron,"Can I have a look at Uranus too, Lavender?"
Ron,"You're gonna suffer, but you're gonna be happy about it."

Dumbledore,"Happiness can be found even in the darkest of times."
Dumbledore,"It does not do to dwell on dreams and forget to live."
Dumbledore,"Words are, in my not-so-humble opinion, our most inexhaustible source of magic."
Dumbledore,"Differences of habit and language are nothing at all."
Dumbledore,"We are only as strong as we are united."

Snape,"Always."
Snape,"Turn to page 394."
Snape,"Obviously."
Snape,"You dare use my own spells against me, Potter?"
Snape,"Life isn't fair."

Draco,"My father will hear about this."
Draco,"You'll soon find out some wizarding families are better than others."
Draco,"I didn't know you could read."
Draco,"Potter, you'll regret this."
Draco,"Scared, Potter?"

Voldemort,"There is no good and evil. There is only power."
Voldemort,"Avada Kedavra!"
Voldemort,"Harry Potter is dead!"
Voldemort,"I can touch you now."
Voldemort,"Greatness inspires envy."

Sirius,"We've all got both light and dark inside us."
Sirius,"The world isn't split into good people and Death Eaters."
Sirius,"Nice one, James!"
Sirius,"If you want to know what a man's like, take a good look at how he treats his inferiors."
Sirius,"Harry, you're less like your father than I thought."

Luna,"You're just as sane as I am."
Luna,"Things we lose have a way of coming back to us."
Luna,"Don't worry. You're just as normal as I am."
Luna,"I think I'll just go down and have some pudding."
Luna,"Wrackspurts are invisible."

Hagrid,"Yer a wizard, Harry."
Hagrid,"I shouldn't have said that."
Hagrid,"What's comin' will come and we'll meet it when it does."
Hagrid,"No good sittin' worryin' abou' it."
Hagrid,"Dragon's are misunderstood creatures."

McGonagall,"Why is it always you three?"
McGonagall,"Have a biscuit, Potter."
McGonagall,"Potter, take Weasley with you."
McGonagall,"Transfiguration is some of the most complex magic."
McGonagall,"I've always wanted to use that spell."

Neville,"I'll join you when hell freezes over."
Neville,"Harry's heart did beat for us."
Neville,"You can’t go around killing people just because they’re inconvenient."
Neville,"I’m quite proud to be their friend."
Neville,"The thing is, it helps when people stand up to them."

Bellatrix,"I killed Sirius Black!"
Bellatrix,"Crucio!"
Bellatrix,"You filthy half-blood!"
Bellatrix,"The Dark Lord will rise again."
Bellatrix,"Never trust an elf."

Ginny,"Anything's possible if you've got enough nerve."
Ginny,"Lucky you."
Ginny,"Shut it!"
Ginny,"Harry, you've got a tattoo."
Ginny,"You don't seem too broken up about it though."

Fred,"Mischief managed."
Fred,"Honestly, woman, you call yourself our mother?"
Fred,"We know we're called Gred and Forge."
Fred,"Give her hell from us, Peeves."
Fred,"Pathetic."

George,"Saintlike."
George,"You okay, Freddie?"
George,"Morning."
George,"What are Fred and I? Next-door neighbors?"
George,"We'll send you a Hogwarts toilet seat."

Cho,"Cedric was a wonderful person."
Cho,"Harry, are you okay?"
Cho,"People don't understand what happened."
Cho,"It's really hard."
Cho,"I believe you."

Cedric,"Take my body back, will you?"
Cedric,"That's real sportsmanship."
Cedric,"Ready?"
Cedric,"Good luck, Harry."
Cedric,"You should take the cup."

Lucius,"Let us hope Mr. Potter will always be around to save the day."
Lucius,"Draco, behave yourself."
Lucius,"The Ministry will hear about this."
Lucius,"Surely you didn't think you'd be allowed to use magic?"
Lucius,"We shall see."

Dobby,"Dobby is free!"
Dobby,"Dobby never meant to kill."
Dobby,"Such a beautiful place to be with friends."
Dobby,"Harry Potter must not go back to Hogwarts."
Dobby,"Dobby has no master."

Moody,"Constant vigilance!"
Moody,"You think the dead we loved ever truly leave us?"
Moody,"Dark and difficult times lie ahead."
Moody,"Play to your strengths."
Moody,"The unforgivable curses."

Umbridge,"I will have order!"
Umbridge,"Detention, Mr. Potter."
Umbridge,"Progress for progress's sake must be discouraged."
Umbridge,"You deserve to be punished."
Umbridge,"Boys and girls will be entering the Forbidden Forest."
